ID,Municipios_ID,Mes,Promedio_Radiacion
1067,44650,January,5.583333333
1068,44847,January,5.553333333
1069,44855,January,5.583333333
1070,44874,January,5.196666666
1071,47001,January,5.77
1072,47030,January,5.753333333
1073,47053,January,5.753333333
1074,47058,January,5.593333333
1075,47161,January,5.753333333
1076,47170,January,5.753333333
1077,47189,January,5.77
1078,47205,January,5.753333333
1079,47245,January,5.56
1080,47258,January,5.753333333
1081,47268,January,5.753333333
1082,47288,January,5.753333333
1083,47318,January,5.593333333
1084,47460,January,5.593333333
1085,47541,January,5.753333333
1086,47545,January,5.593333333
1087,47551,January,5.753333333
1088,47555,January,5.593333333
1089,47570,January,5.753333333
1090,47605,January,5.753333333
1091,47660,January,5.753333333
1092,47675,January,5.753333333
1093,47692,January,5.593333333
1094,47703,January,5.593333333
1095,47707,January,5.593333333
1096,47720,January,5.593333333
1097,47745,January,5.753333333
1098,47798,January,5.593333333
1099,47960,January,5.753333333
1100,47980,January,5.753333333
1101,50001,January,4.696666666
1102,50006,January,5.083333333
1103,50110,January,5.513333333
1104,50124,January,5.513333333
1105,50150,January,5.083333333
1106,50223,January,5.083333333
1107,50226,January,4.696666666
1108,50245,January,4.696666666
1109,50251,January,5.083333333
1110,50270,January,5.083333333
1111,50287,January,5.083333333
1112,50313,January,5.083333333
1113,50318,January,5.083333333
1114,50325,January,5.38
1115,50330,January,4.51
1116,50350,January,5.333333333
1117,50370,January,4.51
